age,difference,ratioR,power
<1y (125),0.2,2,0.46
<1y (125),0.25,2,0.618
<1y (125),0.3,2,0.758
<1y (125),0.35,2,0.885
<1y (125),0.4,2,0.955
1-5y (208),0.2,1.2,0.54
1-5y (208),0.25,1.2,0.758
1-5y (208),0.3,1.2,0.885
1-5y (208),0.35,1.2,0.964
1-5y (208),0.4,1.2,0.989
6-15y (167),0.2,1.5,0.5
6-15y (167),0.25,1.5,0.691
6-15y (167),0.3,1.5,0.841
6-15y (167),0.35,1.5,0.933
6-15y (167),0.4,1.5,0.977
16-19y (250),0.2,1,0.579
16-19y (250),0.25,1,0.788
16-19y (250),0.3,1,0.914
16-19y (250),0.35,1,0.971
16-19y (250),0.4,1,0.994
20-49y (167),0.2,1.5,0.5
20-49y (167),0.25,1.5,0.691
20-49y (167),0.3,1.5,0.841
20-49y (167),0.35,1.5,0.933
20-49y (167),0.4,1.5,0.977
50+y (83),0.2,3,0.345
50+y (83),0.25,3,0.5
50+y (83),0.3,3,0.655
50+y (83),0.35,3,0.788
50+y (83),0.4,3,0.885