std_od1,std_od2,std_conc1,std_conc2
0.265,0.209,0.006,0.007
0.547,0.558,0.25,0.223
0.961,0.933,0.65,0.625
1.122,1.012,0.836,0.816
0.898,0.819,1.096,1.092
0.139,0.154,0.006,0.007
0.164,0.168,0.25,0.223
1.02,0.968,0.65,0.625
0.113,0.111,0.836,0.816
0.146,0.143,1.096,1.092
1.1,1.082,0.006,0.007
0.232,0.216,0.25,0.223
0.751,0.732,0.65,0.625
0.204,0.213,0.836,0.816
0.053,0.048,1.096,1.092
0.719,0.733,0.006,0.007
0.801,0.782,0.25,0.223
0.52,0.499,0.65,0.625
0.975,0.997,0.836,0.816
0.55,0.512,1.096,1.092
0.033,0.04,0.006,0.007
1.071,1.087,0.25,0.223
0.345,0.387,0.65,0.625
0.2,0.198,0.836,0.816
0.058,0.068,1.096,1.092